Classification,Summary
0,mature cell and nk cell non hodgkin lymphoma diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with mlneight thousand
0,stage iiia breast cancer diagnosis and daily use of three pufa concentrates or capsules or regular or any other supplements that might interact with three pufa supplements within six months of study initiation sporadic use of three pufa supplement may be eligible if there has been three month washout period prior to randomization
0,cancer pain diagnosis and participation in other research projects that are in conflict or could confound the results of the study
0,stage ii breast cancer diagnosis and myocardial infarction documented as clinical diagnosis or by ekg or any other test
0,recurrent childhood lymphoblastic lymphoma diagnosis and patient has the following organ dysfunction
0,exposure to any prior chemotherapy steroid use or other myeloma treatment within fourteen days prior to first dose
1,stage ivb colon cancer diagnosis and ast sgot alt sgpt equal_than less_than doc institutional upper limit of normal equal_than less_than five institutional upper limit of normal for patients with liver metastatsis
1,sarcoma diagnosis and not specified radiotherapy
0,recurrent squamous cell carcinoma of the oropharynx diagnosis and for subjects assigned to take vorinostat inability to take oral medications vorinostat capsules must be administered whole note
0,childhood non hodgkin lymphoma diagnosis and patients with poorly controlled hypertension on multiple antihypertensives
0,bone neoplasms diagnosis and reconstruction to include allograft
0,relapsed solid tumors diagnosis and patients who are currently taking rifampin voriconazole itraconazole ketoconazole aprepitant or st
0,neoplasms diagnosis and marked baseline prolongation of qt qtc interval repeated demonstration of qtc interval greater_than four hundred and fifty msec long qt syndrome the required use of concomitant medication that may cause torsades de pointes
0,b cell lymphoma diagnosis and prior chemotherapy or radiotherapy within four weeks
0,myeloma diagnosis and inability to sign consent
0,stage iia colon cancer diagnosis and history of tia or cva
1,recurrent adult lymphoblastic lymphoma diagnosis and md negative intermediate two or high ipss score
0,bladder neoplasms diagnosis and iodine allergy
1,stage ovarian cancer diagnosis and patients must have recovered from the effects of recent surgery radiotherapy or other therapy
0,patients who transformed follicular lymphoma or other indolent lymphoma
0,recurrent bladder cancer diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with bay_forty-three nine thousand and six
0,recurrent fallopian tube carcinoma diagnosis and evidence of bleeding diathesis or clinically significant coagulopathy
1,lymphoma diagnosis and not pregnant or nursing
0,recurrent thyroid gland carcinoma diagnosis and patients with one positive or greater proteinuria on urinalysis should collect twenty-four hour urine collection patients with greater than doc gram protein twenty-four hours are excluded
1,stage iv gallbladder cancer diagnosis and arm cohort one
0,recurrent adult immunoblastic large cell lymphoma diagnosis and diffusion capacity of the lung for carbon monoxide dlco less_than thirty-five total lung capacity tlc less_than thirty-five forced expiratory volume of the lung in one second fevone less_than thirty-five and or receiving supplementary continuous oxygen the fhcrc study principal investigator pi must approve enrollment of all patients with pulmonary nodules
0,fallopian tube serous neoplasm diagnosis and patients who are pregnant or nursing
0,stage iv breast cancer diagnosis and patients may not be receiving any other investigational agents
0,pancreatic cancer diagnosis and congestive heart failure severe cardiac arrhythmias or coronary ischemic disease
0,stage ivb colon cancer diagnosis and prior treatment with irinotecan five fluoruracil or bevacizumab is allowed
1,esophageal adenocarcinoma diagnosis and patients eighteen years of age or older
0,carcinoma hepatocellular diagnosis and patients with six or more lesions are not eligible
1,lymphoma diagnosis and not pregnant or nursing
0,ovarian cancer diagnosis and any of the following within the six months prior to study drug administration
0,stage iii adult diffuse small cleaved cell lymphoma diagnosis and patient or donor with history of hepatitis or and or positive serology consistent with previous hepatitis or infection patients and or donor who received hepatitis vaccination are acceptable
0,stage iiib ovarian cancer diagnosis and patients with serious non healing wound ulcer or bone fracture this includes history of abdominal fistula gastrointestinal perforation or intra abdominal abscess within twenty-eight days patients with granulating_incisions healing by secondary intention with no evidence of fascial_dehiscence or infection are eligible but require weekly wound examinations
0,isolated plasmacytoma of bone diagnosis and uncontrolled diabetes on appropriate therapy
1,undifferentiated ovarian carcinoma diagnosis and platelets greater_than equal_than one hundred zero mcl
1,colorectal cancer diagnosis and cardiovascular
0,thyroid neoplasms diagnosis and contra indications for fdg pet ct
1,brain and central nervous system tumors diagnosis and no gross hemoptysis greater_than ½_teaspoon within the past two months
0,adenoma diagnosis and age below eighteen years
1,stage iv adult lymphoblastic lymphoma diagnosis and has internet and email access indicated by logon to site for consent and assessment
1,stage iii prostate cancer diagnosis and bilirubin within normal limits
1,peritoneal cavity cancer diagnosis and chemotherapy
0,multiple myeloma diagnosis and is female who is pregnant or intends to become pregnant during the study
1,non hodgkins lymphoma diagnosis and two ucb units selected according to current mskcc unit selection algorithm
0,recurrent grade one follicular lymphoma diagnosis and inability to achieve adequate venous access
0,breast cancer diagnosis and irradiation for benign breast conditions including breast inflammation after giving birth
0,adult primary hepatocellular carcinoma diagnosis and patients with known allergy to boron mannitol or bortezomib
1,transaminases less_than doc times upper limit of normal unless attributed to lymphoma
0,cancer diagnosis and any kind of contraindications to the use of opioid drugs
0,head and neck cancer diagnosis and liver disease such as cirrhosis severe hepatic impairment hepatitis or c
1,sarcoma diagnosis and absolute neutrophil count anc greater_than doc ten nine platelets greater_than ten0 ten nine hemoglobin hb greater_than nine dl
0,breast cancer diagnosis and severe systemic disease and or uncontrollable infection unable to be enrolled in this study
0,stage iii adult lymphoblastic lymphoma diagnosis and pregnant or breast feeding females lactating females must agree not to breast feed while taking lenalidomide
0,duct cell adenocarcinoma of the pancreas diagnosis and congestive heart failure chf of new york heart association nyha class greater_than equal_than three or
0,advanced solid tumors diagnosis and patients with active central nervous system or brain metastasis at the time of study entry
0,stage iv non small cell lung cancer diagnosis and history of allergic reactions attributed to compounds of similar chemical or biological composition to cixutumumab
0,recurrent adult hodgkin lymphoma diagnosis and donors
0,stage iii soft tissue sarcoma diagnosis and human immunodeficiency virus hiv positive subjects on combination antiretroviral therapy are ineligible
1,prostatic neoplasms diagnosis and life expectancy of greater than three months
1,carcinoma non small cell lung diagnosis and ecog performance status score of zero one or two
0,osteosarcoma diagnosis and hypersensitivity to pembrolizumab or any of its excipients
0,male breast cancer diagnosis and uncontrolled brain metastases note
0,adrenal cancer diagnosis and mitotane level greater_than five
0,mantle cell lymphoma refractory diagnosis and contraindication to any drug contained in the three chemotherapy regimens chop fc dha
1,recurrent refractory childhood hodgkin lymphoma diagnosis and total bilirubin equal_than less_than doc mg dl does not apply to patients with gilbert syndrome
0,stage iv pancreatic cancer diagnosis and strong inhibitors of cypthreeafour
1,adenosquamous cell lung cancer diagnosis and lesions that can be accurately measured in at least one dimension longest diameter to be recorded as greater_than twenty mm with conventional techniques or as greater_than ten mm with spiral ct scan
0,serrated adenomas diagnosis and patients with inflammatory bowel disease
0,refractory plasma cell myeloma diagnosis and verapamil
0,carcinoma hepatocellular diagnosis and history of allergic reaction to compound chemically related to cap
0,other malignancy within the past three years except nonmelanoma skin cancer
0,non small cell lung cancer diagnosis and medical or psychological condition that would not permit the patient to complete the study or sign informed consent
0,multiple myeloma diagnosis and age greater_than eighteen years
0,liver neoplasms diagnosis and known history of human immunodeficiency virus hiv infection
0,adenocarcinoma of the gastroesophageal junction diagnosis and patients who are pregnant
0,fallopian tube cancer diagnosis and patients who have had cns disease curatively treated and without recurrence for two years may be eligible
1,penile cancer diagnosis and filgrastim
0,gastric cancer diagnosis and unable to take oral medications that could affect oral intake of capecitabine and telatinib
0,neoplasm metastasis diagnosis and major medical illnesses or psychiatric impairment
0,stage iib ovarian cancer diagnosis and patients who in the opinion of the treating physician have medical condition or currently take medications which are felt to contraindicate safe or effective administration of the standard three drug anti emetic regimen used in this study
0,advanced cancer diagnosis and requirement for iv alimentation
0,contiguous stage ii adult diffuse large cell lymphoma diagnosis and donors who are hiv positive and or medical conditions that would result in increased risk for csf mobilization and harvest of pbmc
1,stage iii adult burkitt lymphoma diagnosis and no known glucose six phosphate dehydrogenase gsixpd deficiency
0,multiple myeloma diagnosis and presence of positive test results for hepatitis or hepatitis c
0,recurrent renal cell cancer diagnosis and patients with known hypersensitivity to everolimus everolimus or other rapamycins_sirolimus temsirolimus or to its excipients
0,breast cancer treatment for the currently diagnosed breast cancer including radiation therapy chemotherapy targeted therapy or endocrine therapy prior to study registration
0,ovarian mucinous adenocarcinoma diagnosis and patients with medical history or conditions not otherwise previously specified which in the opinion of the investigator should exclude participation in this study the investigator should feel free to consult the study chair or study co chairs for uncertainty in this regard
1,refractory nasopharyngeal carcinoma diagnosis and signed informed consent
1,astrocytoma grade iv diagnosis and creatinine less_than iuln or creatinine clearance greater_than sixty ml min doc three mtwo for patients with creatinine levels above institutional normal
0,unspecified adult solid tumor protocol specific diagnosis and brain metastasis or resection cavity volume less_than three cm or greater_than six cm
1,histologically or cytologically confirmed pancreatic adenocarcinoma that has metastatic disease measurable by ct mri or pet
1,ovarian cancer diagnosis and no pregnant or breastfeeding individuals
1,stage iv adult burkitt lymphoma diagnosis and congenital primary immunodeficiencies including but not limited to severe combined immunodeficiency syndrome wiskott_aldrick syndrome cdforty_ligand deficiency cell deficiencies
0,diffuse large cell lymphoma diagnosis and uncontrolled diabetes as defined by fasting serum glucose greater_than doc uln
0,stage iv adult soft tissue sarcoma diagnosis and requirement for hemodialysis or peritoneal dialysis
0,breast cancer diagnosis and hemoglobin teng dl
0,unspecified childhood solid tumor protocol specific diagnosis and patients who have received prior solid organ transplantation are not eligible
0,hepatocellular carcinoma diagnosis and patient has severe malfunction of vital organs and can not participate in this study justified by the doctor in this research team
0,hertwo positive breast cancer diagnosis and previous enrollment in an investigational drug study within the past four weeks
0,lung cancer diagnosis and supplementation of electrolytes is permitted
0,hepatoblastoma diagnosis and subjects with uncontrolled infection
0,recurrent childhood large cell lymphoma diagnosis and no psychiatric conditions which would prevent delivery of care psychology clearance is necessary
0,subjects with concurrently active second malignancy other than adequately treated non melanoma skin cancers in situ melanoma or in situ cervical cancer
0,ewing sarcoma family of tumors diagnosis and pregnant or breast feeding females are excluded because of the potential harmful effects of sorafenib and irinotecan on developing fetus or nursing child
0,lung cancer diagnosis and with the exception of physiologic steroid replacement
0,recurrent squamous cell carcinoma of the lip and oral cavity diagnosis and active autoimmune disease
0,recurrent colorectal carcinoma diagnosis and seasonal influenza vaccines for injection are generally_inactivated flu vaccines and are allowed however intranasal influenza vaccines flu_mist are live attenuated vaccines and are not allowed
0,transformed recurrent non hodgkin lymphoma diagnosis and history of myocardial infarction equal_than less_than one hundred and eighty days prior to registration or congestive heart failure requiring use of ongoing maintenance therapy for life threatening ventricular arrhythmias
0,stage iiib skin melanoma diagnosis and steroid therapy or steroid therapy with more than seven consecutive days of steroids within the prior four weeks
1,multiple myeloma diagnosis and ecog performance status zero two appendix e
1,recurrent pancreatic cancer diagnosis and platelets greater_than equal_than one hundred zero cells mm three
0,metastatic breast cancer diagnosis and subjects with regional lymph node as the only site of metastatic disease
0,kidney cancer diagnosis and scheduled major surgery within the treatment period
0,burkitt lymphoma diagnosis and concomitant medication
1,melanoma diagnosis and prior treatment with vemurafenib will be allowed must not have taken hypomethylating agent
0,astrocytoma diagnosis and personal history of hepatitis or other liver diseases
0,ovarian cancer diagnosis and uncontrolled hypertension
1,laryngeal neoplasms diagnosis and nutritional status appropriate
0,carcinoid tumors diagnosis and no waiting required following port cath placement
1,recurrent primitive neuroectodermal tumor diagnosis and note
0,advanced solid tumor diagnosis and preexisting uncontrolled hypertension defined as more than one hundred and forty ninety mmhg by using single agent therapy grade one nci ctcae doc myocardial ischemia arrhythmia cardiac function insufficiency
0,colorectal cancer diagnosis and sensory alteration or paresthesia interfering with function
0,lung cancer diagnosis and patient has signs or symptoms of acute infection requiring systemic therapy
1,recurrent prostate cancer diagnosis and performance status less_than two
0,non small cell lung carcinoma diagnosis and peripheral neuropathy greater_than equal_than grade two common toxicity criteria adverse event ctcae version doc
1,lung cancer diagnosis and angina pectoris
1,relapsed and refractory multiple myeloma diagnosis and hemoglobin greater_than doc dl
0,stage iiia primary peritoneal cancer diagnosis and active infection requiring antibiotics
0,multiple myeloma diagnosis and clinically significant pleural effusion in the previous twelve months or current ascitis
1,childhood diffuse large cell lymphoma diagnosis and viral load has decreased by greater_than equal_than doc logs or viral load less_than five thousand copies ml plasma on haart therapy
0,breast cancer diagnosis and patients may not have been exposed to prior anthracyclines
0,recurrent adult brain tumor diagnosis and patients who have serious medical or psychiatric illness that could in the investigator opinion potentially interfere with the completion of treatment according to this protocol or may not be able to comply with the safety monitoring requirements of the study
1,melanoma skin diagnosis and no concurrent barbiturates
1,metastatic gastrointestinal carcinoid tumor diagnosis and no left ventricular hypertrophy by ekg
1,pancreatic cancer diagnosis and more than seven days since prior and no concurrent digoxin or thiazide diuretic therapy
0,small intestinal lymphoma diagnosis and malignancy treated with curative intent and with no evidence of active disease present for more than three years prior to screening and felt to be at low risk for recurrence by treating physician
0,stage iv adult diffuse large cell lymphoma diagnosis and pregnant women are excluded from this study because the effects of at one hundred and one on the developing human fetus are unknown but could potentially include teratogenic or abortifacient effects because there is an unknown but potential risk for adverse events in nursing infants secondary to treatment of the mother with at one hundred and one breastfeeding should be discontinued if the mother is treated with at one hundred and one these potential risks may also apply to other agents used in this study
1,ovarian sarcoma diagnosis and negative pregnancy test
0,stage ivc verrucous carcinoma of the larynx diagnosis and although there are no known adverse effects of black_raspberries upon the fetus if patients become pregnant during period of lyophilized_black raspberries_lbr administration then lbr will be discontinued and patient will be removed from the study we should however emphasize given this is food based study that risks are likely extremely low even though participant should become pregnant as such we are not recommending active contraception for women but rather if participants become pregnant that they notify their study doctor and that they will likely be removed from study there are no expected or logical risks if men were to father child and as such no contraception will be recommended for men
1,cutaneous cell lymphoma diagnosis and eighteen and older
1,stage iii lymphoepithelioma of the oropharynx diagnosis and or interferon based therapy
0,lymphoma small lymphocytic diagnosis and dlco greater_than fifty of predicted value corrected for hemoglobin
1,sarcoma diagnosis and diagnosis of hematologic malignancy or nonmalignancy
1,lung cancer diagnosis and no significant history of uncontrolled cardiac disease including but not limited to any of the following
0,lymphoma diagnosis and patients known to be human immunodeficiency virus hiv positive
0,lip and oral cavity squamous cell carcinoma diagnosis and alanine aminotransferase alt or aspartate aminotransferase ast greater_than doc ulrr
0,duct cell adenocarcinoma of the pancreas diagnosis and lactating females
1,esophagogastric junction neoplasms diagnosis and scchn patients who are candidates for definitive chemoradiation are not eligible to participate
0,stage iv adult immunoblastic large cell lymphoma diagnosis and patients who have received maximally allowed doses given in two gy fractions or equivalent of previous radiation therapy to various organs as follows
1,unspecified adult solid tumor protocol specific diagnosis and greater than three months hematopoietic
1,cancer diagnosis and patients willing and able to comply with the study protocol for the duration of the study
0,her two positive breast cancer diagnosis and ventricular arrhythmias except for benign premature ventricular contractions
1,neuroblastoma diagnosis and age
0,malignant melanoma diagnosis and seasonal influenza vaccines for injection are generally_inactivated flu vaccines and are allowed however intranasal influenza vaccines are live attenuated vaccines and are not allowed
1,pancreatic cancer diagnosis and negative pregnancy test
0,bladder cancer diagnosis and the pi will serve as the final arbiter as to what constitutes major surgery
0,pancreatic neuroendocrine tumor diagnosis and congestive heart failure unstable angina sustained ventricular tachycardia ventricular fibrillation clinically significant bradycardia advanced heart block or history of acute myocardial infarction within the six months preceding enrollment
1,childhood nodular lymphocyte predominant hodgkin lymphoma diagnosis and doc mg dl one to five months
1,gastroesophageal cancer diagnosis and acceptable renal function
0,fallopian tube neoplasms diagnosis and patients requiring any concomitant treatment with medication that may inhibit cytochrome pfour hundred and fifty threeafour cypthreeafour will not be permitted to begin this study
0,ovarian clear cell cystadenocarcinoma diagnosis and complete left bundle_branch block
0,unspecified adult solid tumor protocol specific diagnosis and patients who have been on megestrol acetate for greater_than one month and are still on it and otherwise meet the eligibility criteria are permitted to enroll on this protocol and remain on megestrol acetate
1,sarcoma diagnosis and not specified
0,diffuse large cell lymphoma dlbcl diagnosis and prior organ transplantation including prior allogeneic sct
1,small intestine lymphoma diagnosis and female subjects
1,stage ib non small cell lung cancer diagnosis and initiation of protocol treatment must begin within ten working days of patient randomization
0,hiv associated hodgkin lymphoma diagnosis and hiv related wasting syndrome
0,recurrent childhood anaplastic large cell lymphoma diagnosis and patients who in the opinion of the investigator may not be able to comply with the safety monitoring requirements of the study are not eligible
0,stage iii adult immunoblastic large cell lymphoma diagnosis and concomitant anti graft versus host disease gvd treatment includes in vivo cell depletion
0,recurrent cervical carcinoma diagnosis and patients with significant peripheral vascular disease
0,stage iv adult diffuse large cell lymphoma diagnosis and women who are pregnant or breast feeding
0,stage iiia intraocular melanoma diagnosis and history of severe allergic reaction to sunitinib or valproic acid inability to receive sunitinib or valproic acid
0,lymphoma diagnosis and ucb units will be selected according to common umbilical cord blood graft selection algorithm
0,stage ii childhood large cell lymphoma diagnosis and patients with uncontrolled seizures as defined by having any seizure activity within the three months prior to screening
0,malignant pancreatic somatostatinoma diagnosis and anticonvulsants stable dose are allowed
0,metastatic ewing sarcoma peripheral primitive neuroectodermal tumor diagnosis and patients with other active malignancies are ineligible for this study
0,ovarian mucinous adenocarcinoma diagnosis and prior treatment affecting the vegf vegfr pathway or the angiopoietin pathway in the recurrent setting including but not limited to thalidomide bevacizumab sunitinib sorafenib pazopanib cediranib nintedanib and trebananib bevacizumab used in the upfront setting in conjunction with chemotherapy and or as maintenance to treat newly diagnosed disease will be allowed
0,colorectal cancer diagnosis and known history of hiv
0,hematologic neoplasms diagnosis and women of childbearing potential who are pregnant hcg positive or breast feeding
1,diffuse large cell lymphoma dlbcl diagnosis and histologically confirmed aggressive cell dlbcl including fl transforming to dlbcl grade iii fl
1,pancreatic cancer diagnosis and endocrine therapy
0,stage iic skin melanoma diagnosis and mental impairment that may compromise the ability to give informed consent and comply with the requirements of the study
0,prostate cancer diagnosis and those diagnosed with diabetes
1,histologically confirmed transitional cell carcinoma of the bladder
1,cholangiocarcinoma diagnosis and patients with none disease metastasis to lymph nodes within hepatoduodenal ligament will remain eligible for the protocol
1,stage iiib breast cancer diagnosis and note
0,lymphoma diagnosis and however prior treatment with rituxan is not an exclusion synergy may still occur
0,progesterone receptor positive tumor diagnosis and any mental or medical condition that prevents the subject from giving informed consent or participating in the trial
0,contiguous stage ii mantle cell lymphoma diagnosis and patient or donor infected with human immunodeficiency virus hiv
1,lung cancer diagnosis and ecog zero two life expectancy
0,stage iv gastric cancer diagnosis and this criterion does not apply to subjects treated on the expansion cohort accruals post february one 20one3
0,retinoblastoma diagnosis and glomerular filtration rate gfr less_than one hundred ml min
1,adult solid tumor diagnosis and a
1,stage iib gastric cancer diagnosis and bilirubin must be less_than upper limit of normal uln unless the patient has chronic grade one bilirubin elevation due to gilbert disease or similar syndrome due to slow_conjugation of bilirubin
1,stage iv grade one follicular lymphoma diagnosis and chronic myelogenous leukemia or other philadelphia_chromosome positive leukemia or
1,stage iii lymphoepithelioma of the nasopharynx diagnosis and patients must sign study specific informed consent form
0,advanced cancers diagnosis and patients treated with tnf antagonists
0,metastatic renal cell carcinoma diagnosis and no previous cytokines therapy
1,lymphoma diagnosis and chronic myelogenous leukemia
1,recurrent colon cancer diagnosis and karnofsky performance status index greater_than equal_than seventy
0,stage iv squamous cell carcinoma of the lip and oral cavity diagnosis and history of hypersensitivity to platinum drugs
0,locally advanced malignant neoplasm diagnosis and previous pelvic radiotherapy
1,multiple myeloma diagnosis and patients who had remissions lasting greater_than twelve months are eligible after at least two prior therapies
0,colorectal tumor diagnosis and clinically significant cardiac disease new york heart association class iii iv
0,carcinoma transitional cell diagnosis and patients treated with another investigational drug or treatment antineoplastic agent cisplatin or gemcitabine than within thirty days before randomization
0,recurrent adult diffuse mixed cell lymphoma diagnosis and severe defects in pulmonary function testing defects are currently categorized as mild moderate and severe as defined by the pulmonary consultant or receiving supplementary continuous oxygen
0,adenocarcinoma of the gastroesophageal junction diagnosis and patients who are receiving any other investigational agents no concurrent use of endocrine therapy is permitted patients on bisphosphonates or denosumab for bone metastases or osteopenia porosis are considered eligible
0,adult pineocytoma diagnosis and patients who have not recovered to less_than common terminology criteria for adverse events ctcae grade two toxicities related to prior therapy are not eligible to participate in this study
0,refractory childhood hodgkin lymphoma diagnosis and positive anti donor cytotoxic crossmatch
1,recurrent adult lymphoblastic lymphoma diagnosis and mantle cell nhl may be treated in first cr
1,myeloid sarcoma diagnosis and regarding donation eligibility is identified as either
0,hepatocellular carcinoma diagnosis and serious hypertension
0,recurrent small lymphocytic lymphoma diagnosis and history of uveitis
0,recurrent breast cancer diagnosis and patients with renal dysfunction defined as glomerular filtration rate less_than tenml min calculated using cockroft gault equation
0,breast cancer diagnosis and prior concurrent therapy
0,multiple myeloma diagnosis and known human immunodeficiency virus hiv seropositive hepatitis infection and or hepatitis subjects with hepatitis surface antigen sag or core antibody receiving and responding to antiviral therapy directed at hepatitis are allowed
1,localized transitional cell cancer of the renal pelvis and ureter diagnosis and absence of metastatic disease on radiographic imaging
1,metastatic melanoma diagnosis and patients not suitable for trastuzumab therapy no evidence of hertwo overexpressing disease or trastuzumab therapy exhausted in hertwo overexpressing disease
1,stage iii adult immunoblastic large cell lymphoma diagnosis and unrelated donor
0,metastatic melanoma diagnosis and presence of laboratory evidence of autoimmune disease positive ana_titer without symptoms
0,concurrent administration of any other tumor therapy
0,stage iv marginal zone lymphoma diagnosis and fungal pneumonia with radiological progression after receipt of amphotericin formulation or mold active azoles for greater than one month
0,noncontiguous stage ii grade one follicular lymphoma diagnosis and female patients who are pregnant or breast feeding
1,angioimmunoblastic cell lymphoma diagnosis and donor for allogeneic lymphocytes arm two only
1,cancer diagnosis and rising psa documented by at least two consecutive measurements obtained more than one month apart
0,nodal marginal zone cell lymphoma diagnosis and active extramedullary leukemia including cns disease
1,platinum resistant ovarian cancer is not permitted
0,cancer diagnosis and prior whole brain radiation as adjuvant treatment is allowed
1,advanced gastric cancer diagnosis and measurable disease lesions must be accurately measured in at least one dimension with longest diameter greater_than twenty mm using conventional techniques or greater_than ten mm with spiral ct scan with minimum lesion size no less than double the slice_thickness
0,adult nodular lymphocyte predominant hodgkin lymphoma diagnosis and patients who are candidates for high dose chemotherapy and autologous stem cell transplantation with curative intent should not be enrolled
0,fallopian tube clear cell adenocarcinoma diagnosis and prior treatment affecting the vegf vegfr pathway or the angiopoietin pathway in the recurrent setting including but not limited to thalidomide bevacizumab sunitinib sorafenib pazopanib cediranib nintedanib and trebananib bevacizumab used in the upfront setting in conjunction with chemotherapy and or as maintenance to treat newly diagnosed disease will be allowed
1,brain metastases allowed provided the patient is stable after completion of treatment surgery and or radiotherapy asymptomatic and off steroids with two consecutive stable brain scans at least four weeks after radiotherapy
0,patients with metastatic cancer including lymphoma pre existing lymphoedema
0,stage iv renal cell cancer diagnosis and concurrent medications associated with known risk of corrected qt interval qtc prolongation and or torsades de pointes are not allowed within two weeks of initiation of study treatment those medications listed as possible risk for causing qtc prolongation and torsades de pointes will be allowed although if an alternative medication can be substituted that would be preferable_granisetron is an acceptable antiemetic on this study but ondansetron is not
0,recurrent grade one follicular lymphoma diagnosis and inability to collect adequate stem cells
1,adult gliosarcoma diagnosis and patient must be able to understand and be willing to sign written informed consent document
1,multiple myeloma and plasma cell neoplasm diagnosis and tachypnea defined as respiratory rate greater_than twenty breaths minute
0,lung neoplasms diagnosis and any condition that impairs absorption of oral agents or the subject ability to swallow whole pills
0,breast cancer preneoplastic conditions brca diagnosis and no or inverted nipple on the breast unfit for fluid collection or significant prior surgery in the area of the nipple areolar complex
0,thyroid neoplasms diagnosis and inability to undergo treatment
1,plasma cell myeloma diagnosis and hemoglobin greater_than equal_than doc dl
0,intraocular lymphoma diagnosis and donor
0,stage ia breast cancer diagnosis and concurrent chemotherapy patients may receive chemotherapy prior to radiation or following radiation at the treating physician discretion
0,stage iv adult diffuse small cleaved cell lymphoma diagnosis and lansky play performance score less_than fifty for pediatric patients
0,metastatic lung cancer diagnosis and patients with greater_than two simultaneous peripheral lung metastases less_than five cm of any origin at any location in the lung
1,childhood renal cell carcinoma diagnosis and only single allele disparity will be allowed for hla b or as defined by high resolution typing
1,recurrent small lymphocytic lymphoma diagnosis and serum glutamic oxaloacetic transaminase sgot less_than two times the normal or clearance by ccf physician
0,recurrent grade two follicular lymphoma diagnosis and prior radiation greater_than two0 gy to any critical normal organ lung liver spinal cord or over two5 of red marrow
1,head and neck cancer diagnosis and not specified
1,unresectable extrahepatic bile duct cancer diagnosis and ascites
0,soft tissue sarcoma diagnosis and inadequately controlled hypertension defined as systolic blood pressure greater_than one hundred and fifty and or diastolic blood pressure greater_than one hundred mmhg on antihypertensive medications
1,head and neck cancer diagnosis and age greater_than or equal_than eighteen
0,prostate cancer diagnosis and initiation of new chemotherapy regimen immunotherapy or initiation cessation of hormonal therapy during the study or for three weeks before the start of the study
0,recurrent adult hodgkin lymphoma diagnosis and donor or centers who will exclusively donate marrow
1,childhood grade iii meningioma diagnosis and fully recovered from the acute toxic effects of all prior chemotherapy immunotherapy or radiotherapy
0,nasopharyngeal carcinoma diagnosis and known hiv positive subjects since treatment may be significantly immunosuppressive
1,patients with multiple myeloma mm or systemic light chain amyloidosis who are receiving high dose melphalan hdm and autologous peripheral blood stem cell transplantation asct
0,other malignancies within the past five years except nonmelanomatous skin cancer or adequately treated carcinoma in situ of the cervix
0,brain tumors diagnosis and lack of capacity to consent or lack of written consent
0,ovarian brenner tumor diagnosis and patients with clinically significant cardiovascular disease this includes
0,multiple myeloma diagnosis and patient has hypersensitivity to bortezomib boron or mannitol or thalidomide
0,breast cancer diagnosis and allergy to lanolin
0,extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and significant elevation of bilirubin and transaminases should be discussed at participating institutions patient review committees in case by case basis evidence of synthetic dysfunction or severe cirrhosis will result in patient exclusion
0,recurrent adult burkitt lymphoma diagnosis and identical twin
1,prostate cancer diagnosis and patient characteristics
0,brain cancer diagnosis and has diagnosis of immunodeficiency
0,histologic evidence of neuroendocrine or small cell carcinoma of the prostate
0,childhood lymphoma diagnosis and patients who have received prior solid organ transplantation are not eligible
